Airport,City,Lounge,Terminal,Slug,Live URL
YEG,Edmonton,Plaza Premium Lounge,Main Terminal,plaza-premium-lounge-yeg,https://www.airportlounges.ca/airports/YEG/lounges/plaza-premium-lounge-yeg
YEG,Edmonton,Plaza Premium Lounge (US Transborder),Main Terminal,plaza-premium-transborder-yeg,https://www.airportlounges.ca/airports/YEG/lounges/plaza-premium-transborder-yeg
YOW,Ottawa,Aspire Salon Lounge,Main Terminal,aspire-salon-lounge-yow,https://www.airportlounges.ca/airports/YOW/lounges/aspire-salon-lounge-yow
YQB,Québec City,Salon YQB,Main,salon-yqb,https://www.airportlounges.ca/airports/YQB/lounges/salon-yqb
YQR,Regina,Air Canada Maple Leaf Lounge,Main Terminal,ac-maple-leaf-lounge-yqr,https://www.airportlounges.ca/airports/YQR/lounges/ac-maple-leaf-lounge-yqr
YUL,Montreal,Air Canada Maple Leaf Lounge (International),Main Terminal,ac-maple-leaf-lounge-international-yul,https://www.airportlounges.ca/airports/YUL/lounges/ac-maple-leaf-lounge-international-yul
YUL,Montreal,Air Canada Maple Leaf Lounge (Transborder),Main Terminal,ac-maple-leaf-lounge-transborder-yul,https://www.airportlounges.ca/airports/YUL/lounges/ac-maple-leaf-lounge-transborder-yul
YUL,Montreal,Air France / KLM Lounge,Main Terminal,air-france-klm-lounge-yul,https://www.airportlounges.ca/airports/YUL/lounges/air-france-klm-lounge-yul
YUL,Montreal,Aspire International Lounge,Main Terminal,aspire-international-lounge-yul,https://www.airportlounges.ca/airports/YUL/lounges/aspire-international-lounge-yul
YUL,Montreal,Desjardins Odyssey Lounge (International),Main Terminal,desjardins-odyssey-lounge-international-yul,https://www.airportlounges.ca/airports/YUL/lounges/desjardins-odyssey-lounge-international-yul
YUL,Montreal,Desjardins Odyssey Lounge (Transborder),Main Terminal,desjardins-odyssey-lounge-transborder-yul,https://www.airportlounges.ca/airports/YUL/lounges/desjardins-odyssey-lounge-transborder-yul
YUL,Montreal,National Bank Lounge,Main Terminal,national-bank-lounge-yul,https://www.airportlounges.ca/airports/YUL/lounges/national-bank-lounge-yul
YVR,Vancouver,Air Canada Café,Main,air-canada-cafe-yvr,https://www.airportlounges.ca/airports/YVR/lounges/air-canada-cafe-yvr
YVR,Vancouver,Air Canada Maple Leaf Lounge (Domestic),Domestic,ac-maple-leaf-lounge-domestic-yvr,https://www.airportlounges.ca/airports/YVR/lounges/ac-maple-leaf-lounge-domestic-yvr
YVR,Vancouver,Air Canada Maple Leaf Lounge (US Departures),US Transborder,ac-maple-leaf-lounge-transborder-yvr,https://www.airportlounges.ca/airports/YVR/lounges/ac-maple-leaf-lounge-transborder-yvr
YVR,Vancouver,Air Canada Petit Café,Main,air-canada-petit-cafe-yvr,https://www.airportlounges.ca/airports/YVR/lounges/air-canada-petit-cafe-yvr
